Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
98,Jalen Suggs,SG,22,ORL,11,307,12.9,.520,.459,.306,3.6,13.2,8.3,15.7,3.8,1.9,15.4,20.4,,-0.1,0.7,0.6,.096,,-2.9,2.8,-0.1,0.1,suggsja01
99,Zion Williamson,PF,23,NOP,10,312,19.1,.548,.012,.452,8.7,12.3,10.5,24.4,1.2,0.9,12.7,31.0,,0.2,0.2,0.4,.066,,1.1,-1.2,-0.1,0.2,willizi01
100,Spencer Dinwiddie,PG,30,BRK,11,313,14.1,.577,.650,.311,1.4,11.5,6.5,25.5,0.6,0.3,11.4,18.0,,0.6,0.1,0.8,.116,,1.0,-1.1,-0.2,0.1,dinwisp01
101,Derrick Jones Jr.,SF,26,DAL,12,270,14.4,.648,.598,.207,4.5,12.5,8.5,6.9,1.2,2.8,11.8,15.8,,0.4,0.2,0.6,.105,,0.7,-1.0,-0.2,0.1,jonesde02
102,Zach LaVine,SG,28,CHI,13,463,16.2,.559,.432,.336,1.1,15.1,7.6,13.8,1.3,0.7,9.9,27.4,,0.4,0.4,0.7,.075,,1.0,-1.2,-0.2,0.2,lavinza01
103,Marvin Bagley III,C,24,DET,13,253,19.1,.663,.054,.398,10.0,19.0,14.5,9.8,0.2,2.6,14.8,21.1,,0.6,0.2,0.8,.142,,0.9,-1.3,-0.3,0.1,baglema01
104,Paolo Banchero,PF,21,ORL,12,405,14.8,.535,.214,.494,4.9,19.1,11.8,23.2,1.9,1.2,17.4,25.7,,-0.1,0.7,0.6,.076,,-1.0,0.7,-0.3,0.2,banchpa01
105,Christian Braun,SG,22,DEN,12,239,15.5,.547,.271,.271,6.3,18.1,12.5,14.3,1.0,1.1,5.9,18.4,,0.4,0.3,0.7,.142,,-0.2,-0.2,-0.3,0.1,braunch01
106,Dorian Finney-Smith,PF,30,BRK,12,366,12.5,.639,.725,.028,6.8,11.8,9.3,5.9,0.5,2.1,10.5,14.3,,0.5,0.2,0.8,.101,,0.6,-1.2,-0.5,0.1,finnedo01
107,Caris LeVert,SG,29,CLE,11,364,15.5,.521,.396,.284,1.8,12.1,7.1,17.8,1.9,1.2,6.9,24.4,,0.3,0.4,0.7,.087,,-0.4,-0.1,-0.5,0.1,leverca01
108,Ausar Thompson,SF,21,DET,13,403,15.5,.487,.200,.279,14.2,22.3,18.2,16.0,1.9,4.7,16.5,19.4,,0.0,0.6,0.6,.072,,-1.5,1.0,-0.5,0.2,thompau01
109,Jaden McDaniels,SF,23,MIN,9,222,11.7,.632,.386,.014,3.7,6.5,5.2,8.6,1.3,1.6,10.2,15.3,,0.3,0.3,0.6,.135,,-1.8,1.2,-0.6,0.1,mcdanja02
110,Norman Powell,SG,30,LAC,11,274,13.7,.637,.510,.292,0.8,7.9,4.5,9.2,1.1,2.0,10.0,18.9,,0.4,0.2,0.7,.118,,0.0,-0.7,-0.6,0.1,powelno01
111,Donte DiVincenzo,SG,27,NYK,12,240,10.6,.510,.647,.141,5.3,12.0,8.5,12.1,2.1,1.7,15.1,18.6,,0.0,0.4,0.3,.065,,-1.7,1.0,-0.7,0.1,divindo01
112,Josh Hart,SF,28,NYK,12,350,9.6,.489,.455,.080,4.2,21.1,12.3,12.6,1.3,1.2,12.5,12.5,,0.1,0.5,0.6,.086,,-2.5,1.8,-0.7,0.1,hartjo01
113,De'Anthony Melton,SG,25,PHI,12,353,12.0,.531,.549,.248,2.3,11.3,7.0,17.6,2.0,1.0,11.3,16.8,,0.3,0.3,0.7,.091,,-0.9,0.2,-0.7,0.1,meltode01
114,Bobby Portis,PF,28,MIL,12,280,17.3,.572,.264,.273,4.9,23.6,14.8,9.3,2.0,1.8,10.0,23.1,,0.2,0.4,0.6,.103,,-0.5,-0.2,-0.7,0.1,portibo01
115,Brandon Ingram,SF,26,NOP,9,311,16.7,.548,.244,.186,2.0,14.4,8.2,26.4,0.9,0.6,12.7,29.0,,0.1,0.2,0.3,.041,,0.6,-1.4,-0.8,0.1,ingrabr01
116,Jaren Jackson Jr.,C,24,MEM,11,338,17.0,.552,.333,.339,5.8,16.7,10.9,12.2,0.6,5.6,9.4,26.2,,0.3,0.3,0.6,.085,,-0.1,-0.7,-0.8,0.1,jacksja02
117,Dereck Lively II,C,19,DAL,11,265,17.8,.728,.034,.373,12.4,19.7,16.1,6.6,1.2,3.8,12.7,12.5,,0.8,0.3,1.1,.190,,-0.6,-0.2,-0.8,0.1,livelde01
118,Obi Toppin,PF,25,IND,11,250,16.2,.689,.321,.210,4.5,11.4,8.0,3.0,1.7,0.9,5.3,15.4,,0.6,0.1,0.7,.125,,0.3,-1.2,-0.9,0.1,toppiob01
119,Zach Collins,C,26,SAS,12,363,15.7,.630,.354,.238,6.9,17.0,11.8,18.8,1.2,3.0,18.7,20.5,,0.3,0.1,0.5,.060,,-0.5,-0.4,-1.0,0.1,colliza01
